History,Members,Depth,Payoff Vector P1,Payoff Vector P2,Player,Sons,Parents,Index Members
/J?/P1:raise2/P2:raise2/P1:c/C:J,"['/C:JQ/P1:raise2/P2:raise2/P1:c/C:J', '/C:JK/P1:raise2/P2:raise2/P1:c/C:J']",5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]","[-13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0]",1,"[7, 75]","[33, 87]","[71, 167]"
/J?/P1:raise2/P2:raise2/P1:c/C:K,"['/C:JJ/P1:raise2/P2:raise2/P1:c/C:K', '/C:JQ/P1:raise2/P2:raise2/P1:c/C:K', '/C:JK/P1:raise2/P2:raise2/P1:c/C:K']",5,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]","[0.0, 9.0, 0.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0, 13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0]",1,"[102, 104]","[33, 87]","[11, 83, 179]"
/K?/P1:c/P2:c/C:Q,"['/C:KJ/P1:c/P2:c/C:Q', '/C:KQ/P1:c/P2:c/C:Q', '/C:KK/P1:c/P2:c/C:Q']",4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0]","[-9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0]",1,"[3, 55]",[45],"[603, 699, 771]"
/K?/P1:c/P2:c/C:Q/P1:c/P2:raise4,"['/C:KJ/P1:c/P2:c/C:Q/P1:c/P2:raise4', '/C:KQ/P1:c/P2:c/C:Q/P1:c/P2:raise4', '/C:KK/P1:c/P2:c/C:Q/P1:c/P2:raise4']",6,"[9.0, 5.0, 5.0, -1.0, -9.0, 5.0, -5.0, -1.0, 0.0, 5.0, 0.0, -1.0]","[-9.0, -5.0, -5.0, 1.0, 9.0, -5.0, 5.0, 1.0, 0.0, -5.0, 0.0, 1.0]",1,[],"[2, 45]","[601, 697, 769]"
/Q?/P1:c/P2:raise2/P1:c/C:J/P1:c/P2:raise4,"['/C:QJ/P1:c/P2:raise2/P1:c/C:J/P1:c/P2:raise4', '/C:QQ/P1:c/P2:raise2/P1:c/C:J/P1:c/P2:raise4', '/C:QK/P1:c/P2:raise2/P1:c/C:J/P1:c/P2:raise4']",7,"[-11.0, 7.0, -7.0, -3.0, 0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0]","[11.0, -7.0, 7.0, 3.0, 0.0, -7.0, 0.0, 3.0, 11.0, -7.0, 7.0, 3.0]",1,[],"[53, 95, 138]","[318, 396, 480]"
/J?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:raise4/P2:raise4,"['/C:JJ/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:raise4/P2:raise4', '/C:JQ/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:raise4/P2:raise4', '/C:JK/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:raise4/P2:raise4']",8,"[0.0, -9.0, -13.0, -9.0, -13.0, -9.0]","[0.0, 9.0, 13.0, 9.0, 13.0, 9.0]",1,[],"[33, 105, 141]","[32, 116, 212]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4,"['/C:QJ/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4', '/C:QK/P1:c/P2:raise2/P1:raise2/P2:c/C:Q/P1:raise4/P2:raise4']",8,"[13.0, -9.0, 13.0, -9.0]","[-13.0, 9.0, -13.0, 9.0]",1,[],"[53, 100, 138]","[302, 464]"
/J?/P1:raise2/P2:raise2/P1:c/C:J/P1:c/P2:raise4,"['/C:JQ/P1:raise2/P2:raise2/P1:c/C:J/P1:c/P2:raise4', '/C:JK/P1:raise2/P2:raise2/P1:c/C:J/P1:c/P2:raise4']",7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]","[-13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0]",1,[],"[0, 33, 87]","[69, 165]"
/Q?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4,"['/C:QJ/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4', '/C:QQ/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4', '/C:QK/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4']",8,"[13.0, 9.0, 9.0, -5.0, 0.0, 9.0, 0.0, -5.0, -13.0, 9.0, -9.0, -5.0]","[-13.0, -9.0, -9.0, 5.0, 0.0, -9.0, 0.0, 5.0, 13.0, -9.0, 9.0, 5.0]",1,[],"[53, 99, 138]","[311, 389, 473]"
/J?/P1:raise2/P2:raise2/P1:c/C:Q,"['/C:JJ/P1:raise2/P2:raise2/P1:c/C:Q', '/C:JQ/P1:raise2/P2:raise2/P1:c/C:Q', '/C:JK/P1:raise2/P2:raise2/P1:c/C:Q']",5,"[0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0]","[0.0, 9.0, 0.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0, 13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0]",1,"[90, 110]","[33, 87]","[5, 77, 173]"
